Title,"im a flooring installer with 12 years of experience on flooring .. 
i install CARPET (residencial),(comercial(,(custom) , VCT ,LAMINATE ,VINYL

im offering A low reasonable Price for my work and also have pad ,carpet ,vynil,vct that could fit your space .. 
. i know how much the big companys or stores charge or sell flooring .. i have work for those companys and stores 
i also do repairs .. if you are a propety owner and you want new floor for your units ill give you a fair Price 


im a really profesional installer free estimate . im open to trades or charge a low reasonable Price .. 

i will post some pics from my Jobs .. 
any queastions feel free to email me .. 
THANK YOU .....call Alex 
 show contact info"
Body,Carpet Sales ○ Installations ○ Repair - FREE ESTIMATES- Lowest Rates (austin  and sorrounding areas)
Title,"Bunch of folders.  Nice tall plant, and a bunch of small carpet samples. 
Free to the first person to pick them up.  
Michael at the front desk will get them for you.

Will delete ad when gone.

*recycling bin stays with me :)"
Body,"Hanging Folders, Carpet Samples, Plant (Downtown)"
Title,Very lightly used Knee Kicker for carpet. Spring loaded so it saves your knees from shock.
Body,"Knee Kicker Carpet Installer Shock Absorber, Save your Knees - $20 (central austin)"
Title,"in selling a painting, it is very nice and never used. I also have a very nice, fairly used carpet (5 Ft, 11in x 8ft, 7in) I don't need them any more, they're just taking up space in my house. If you are interested in buying these, the painting is $10, the carpet is $40. If you are interested, please feel free to text me, I don't answer emails."
Body,Beautiful painting and carpet - $1 (Pflugerville)
Title,"For sale today is one amazing handmade wool rug, made in India, 85% Wool, 15% cotton.  Carpet measures 96"" long, 64"" wide.  Please have these measurements in kind before you stop by to see the rug.  rug is in excellent condition!  Pictures show both sides of the rug.

175.00 or best offer"
Body,"Handmade Wool Rug Made in India 96"" x 64"" Carpet Vintage Rare Persian - $175 (east austin)"
Title,"Several rolls of soft yarn plush and textures and frieze overstocks in best selling colors;
I have three rolls of SHAW frieze cut pile berber fleck carpets
and four rolls of  solid color plush carpet overstock specials; 
Perfect for rentals or homes that you are fixing up to put on the market;  
Retail $2.22; Now .99/sq.ft.!!!
w/ FREE PADDING on select styles and colors!!!
Expert installation also available at reasonable prices.
Call now for more details and save big $$$!!! 

 show contact info



Carpet; carpets; carpeting; new carpet; cheap carpet; frieze carpet; berber carpet; high-end carpets;
new carpet; new carpeting; discount carpet; mohawk carpet; shaw carpet"
Body,SHAW and MOHAWK Soft yarn plush and frieze carpet specials!!! (Austin)
Title,"Brand new still sealed in box. Bissell Proheat  geared for cleaning after pets. Bought when I had carpet, now have wooden floors. Sitting in closet collecting dust. Selling because I'm in my final semester at UTEP before graduating and need money to pay for my books. Asking $200. CASH ONLY! SALE FINAL! Willing to meet within reasonable distance. Call or text: five 1 two-554-555 zero"
Body,Brand New Bissell Carpet Cleaner ProHeat - $200 (Riverside)
Title,"Carpet grabber brand new in package. To prevent skid with rugs. 
$5

Bathroom light / vanity fixtures $2-$5



Chris madden king bedding set from JC Penny in burgundy $125

Kitchen utensils dishes, small gadgets $2-$3

Adirondack cherry stained wooden patio/backyard chair with footstool. The stool needs a little repair. $30 


Brushed nickel drapery rod $10

Train shaped kids room rug  $10

Throw/ sofa pillow $1 each. 

Memory foam bed pillows by sleep innovations $10 each. 



Lots of beautiful home decor"
Body,"Light fixtures,patio chair,carpet mat, kitchen dishes and utensils - $5 (nw austin)"
Title,"SHAW Top selling neutral colored carpet;
I have enough for 1 -3 rooms of brand new
carpet and padding, that was just installed 
in my home, wife wants a pattern; 
Price is $99 - $199!!!
This is an absolute steal and perfect for rental properties.
Call 
 show contact info
now for more details and SAVE MONEY!!!"
Body,Carpet for sale; neutral tan color (Austin)
Title,"###

FREE SHIPPING WITH PURCHASE - The posted pieces are examples of what I have! Fine luxury hand knotted pieces ranging from 12x18 down to runners. No machine made or junk tufted rugs here. Similar sizes and quality that I have would be found in stores for 200% to 400% more than what I will be asking >>


please contact me for more pictures and final pricing for available pieces 



















natural organic vegetable minderal hand made dyes kork wool. handmade handknotted knotted handtied tied handwoven woven flat weave persian rug persian rugs oriental rug oriental rugs handmade rug handmade rugs handwoven rug handwoven rugs hand knotted rug hand knotted rugs handknotted rugs hand woven rugs hand tied rugs hand made rugs hand made rug 10x12 12x17 12x16 11x17 11x16 11x15 11x14 10x15 10x16 10x17 12x18 12x15 10x14 10x13 9x12 9x11 9x10 8x10 8x11 8x9 8x8 9x9 10x10 11x11 12x12 7x8 7x9 7x10 7x11 6x11 6x10 6x9 6x8 5x9 5x8 5x7 4x6 14x20 3x20 3x10 3x15 3x14 3x13 3x12 3x11 4x10 4x11 4x12 4x13 4x14 4x15 area rug runner oushak peshawar Turkish Indian Pakistan try Heriz Hariz Isfahan Kashan Kerman Mashad Nain Sarouk Antique art. gold jewelry platinum silver diamond diamonds rare collector ushak blue red green yellow purple orange ivory beige brown white black gold grey gray ecru pink deep teal turquoise neutral neutrals cream rust terracotta terra cotta burgundy wine carpet rug carpet rug carpet rug rugs persian rug oriental rug wool rug silk rug turkish rug prayer rug fine rug turkish carpet persian carpet oriental carpet broadloom carpet custom rug custom carpet the best and lowest prices on real high quality rare sized antique persian. Best deals in USA."
Body,180+ PERSIAN RUG ♛ IRANIAN RUG ANTIQUE RUG PERSIAN CARPET ANTIQUE (austin rug rugs persian wool antique)
Title,"PERGO Hand-scraped laminate floors,  
BRUCE Hardwoods, MOHAWK and SHAW Carpets,
Porcelain and ceramic tile import specials;
Slate - Granite - Marble - Travertine BLOWOUT specials!!!
Local distributor selling overstock inventory of carpet, hardwood, ceramic tile 
and natural stone closeouts at drastically reduced prices; Save 30% - 70%!!!
Call now for more details and save BIG $$$!!!  

 show contact info




carpet; hardwood; ceramic tile; porcelain tile; travertine; Pergo; laminate flooring
floors; new floors; flooring; new flooring; wood flooring; natural stone
wholesale flooring"
Body,Carpet and Flooring year-end OVERSTOCK BLOWOUT!!! (Austin)
Title,"MaxExtract DualV Nozzle Technology pulls up more dirty water so your floors dry fast and you will be back to living on your deep cleaned floors quickly.
Pressurized edge to edge cleaning gives you a wall of pressurized water that loosens and lifts stubborn stains with a constant and relentless spray.
Spinscrub Technology with 77 counter rotating brushes engineered to surround carpet fibers, removing dirt at every angle.
SpinScrub Setting Options: Spill Pickup Mode , Gentle Scrub Mode and Power Scrub Mode.
Smart Tanks System gives you separate tanks for clean and dirty water, so you can easily fill, empty, and rinse each tank individually


retails for $300 / selling $50
I have detergents for both hard floor and carpet. I can give them,too. (paid $30)"
Body,Hoover Max Extract 77 Multi-Surface Carpet & Hard Floor Clean Vacuum - $65 (arboretum)
Title,"""""PLUSH, FRIESE, BERBER CARPETING"""" ( Residential and Commercial )



Local Warehouse with Hundreds of Rolls of Carpet in Stock. We have Next Day Installation Available.



""""Prices Starting at $0.99/Sq.Ft Installed."""" (Includes Free Padding and Removal of Existing Carpet)



Let Us Save You $$$ on Your Damaged Floor From The Recent Flooding







Please Call John



 show contact info"
Body,Carpet - Flooring - $1 (Austin)
Title,"Large room size carpet. Olefin  multi-flecked colors on a beige gray berber carpet. 27' X 12'. Never used. Rolled for convenience in transporting.

Call or text

 show contact info"
Body,Olefin Greige 12x27 Carpet - $149 (manor)
Title,"industrial carpet cleaning machine etc.
Call for details 

CASH & CARRY


 show contact info"
Body,Industrial Carpet Cleaning Machine - $175 (Round Rock)
Title,"I have too many samples of carpet starting at 9 bucks s/yd whit intallation fee Lots of colors to choose from, I have cheap builder grade Carpet perfect for rentals. 3/8 and 1/2 inch padding cheaper than any carpet shop. Professional installation also available with a 1 yr warranty. For a free estimate and asap service call-email or text 
 show contact info"
Body,carpet  for only 5.50 sq/yd (austin and sorrounding  areas)
Title,"Carpet repairs, and installation. 




37yrs. exp.
Call George   
 show contact info"
Body,Carpet Repairs & Installation (Austin)
Title,"I've been installing for over 25 years. I have my own crew.

If you have material from home depot, menards, lowes etc I can install it. 
If your a shop looking for an installer, give me a call.

I'm Certified and FULLY INSURED
I work for local shops, builders etc in my area, I can give references.
I complete jobs quickly and with quality workmanship. 
I will travel for decent size job- grocery store, dental office, nursing home, schools(I can install a basketball court) etc
Save money having me install, I don't have shop overhead cost

CARPET  RESIDENTIAL AND  COMMERCIAL -Laminate-Vinyl-VCT-LVT-Carpet squares"
Body,RESIDENTIAL  AND COMMERCIAL  Carpet  and FLOORING (austin  and sorrounding areas)
Title,"ES Robbins Performance Clear Carpet Vinyl Chair Mat for sale...$25

CALL if you want the mat. If you text or respond by email, I will assume you are a spammer and ignore it"
Body,ES Robbins Performance Clear Carpet Vinyl Chair Mat - $25 (central)
Title,Brand new lovely green contemporary style carpet. Used only for staging.
Body,#####BRAND NEW CARPET###### - $30 (Mopac and Duval)
Title,"Great lot of carpet tiles. Come and get em!

*************************************************

18,000 sq ft of brand new carpet squares - STILL IN BOXES

left overs from a big job - all brand new

I am in Dallas Texas ( Desoto )

Beautiful Grey

24""x24""

Selling for $0.88 sq ft

I can install them as well if needed


I do accept credit cards!!! ( it will be a 0.0275 extra charge)

Call or text Tony

 show contact info


(phone/text) nine five four - seven zero one - zero nine two zero











carpet squares tile hardwood laminate floor engineered vinyl flooring floors piso"
Body,brand new CARPET TILES grey 18000 sq ft (lancaster)
Title,"Selling a brand new 7'x5' carpet from Lowes. 

Currently selling for $75+tax. Selling it for $50.

Price is firm. Will easily fit in a sedan."
Body,5' x 7' Carpet - Brand New - $50 (Round Rock)
Title,"Large quantity of Floor Scrubbers, Vacuums, and Carpet Scrubbers
Come in and see what kind of deal you can make.
Our pricing $25 to $40

Charter AMG Liquidation Outlet
2200 Grand Avenue Parkway
Suite 103
Austin, TX 78728

Hours of Operation
Mon-Fri 9-6
Sat 10-2"
Body,"Floor Scrubbers, Vacuums, and Carpet Scrubbers - $25 to $40 (north austin)"
Title,"1996 E 250 van with 183, xxx and a panther 18 carpet cleaning unit from chem tex it comes with vacuum hose, pressure line and a wand to clean carpet for an extra price i can include tile, air duct attachments need to sell asap unit sells for 10k new at chem tex call me 
 show contact info
thx."
Body,carpet cleaning van E 250 with unit - $6500 (Pflugerville)
Title,"Three truckload special purchase carpet sale!!!
I have three rolls of SHAW  frieze cut pile berber fleck carpets 
and four rolls of neutral solid color plush overstock carpet specials;
Perfect for rentals or homes that you are fixing up to put on the market;  
Retail $2.22; Now .99/sq.ft!!!  FREE PADDING on select styles and colors!!!
Expert installation also available at reasonable prices.   
Save Money and call now for more details!!! 

 show contact info




Carpet; carpets; carpeting; new carpet; cheap carpet; frieze carpet; berber carpet; high-end carpets;
new carpet; new carpeting; discount carpet; mohawk carpet; shaw carpet"
Body,MOHAWK and SHAW Soft yarn plush and frieze carpet specials!!! (Austin)
