Title,Living Room Tables in great condition...
Body,Living Room Tables - $100 (south houston)
Title,I'm selling 3 big picnic tables for $300 each. They have very sturdy metal frames and 2×12 wood tops.
Body,Picnic Tables (Rosenberg)
Title,"Just $88 For These Rustic Piece Coffee Tables. Great Low Price!

We sell a large variety of custom furniture at Jacks Tables"
Body,Shallackened Dark Oak Tables Huge Sale Must Go - $88 (Houston)
Title,"New Wood Coffee Tables. Inventory Blowout!

All of our furniture comes with free delivery and satisfaction guarantee!"
Body,Old World Wooden Tables Assembled Fantastic Sale - $88 (Houston)
Title,2 glass side tables & 1 coffee table almost new.
Body,Tables - $80
Title,"NEW

Accommodates most 42"" TVs up to 70 lbs
Incredibly stylish and functional
Two large adjustable shelves hold audio/video equipment
Two small adjustable shelves hold TV accessories, magazines and remote controls
Cord management helps streamline your cables and wires for a tidier look

Overall dimensions: 39.21""W x 15.51""D x 21.34""H

AND 2 End tables
Product in Inches (L x W x H):	18.0 x 18.0 x 22.0"
Body,Tv stand and 2 end tables - $69 (houston)
Title,"Pottery Barn Tanner Console Table and matching side Nesting Tables. Console table retails at Pottery Barn for $399 and nesting tables retail at Pottery Barn for $239 before delivery charges (total retail is $638).  In very good condition.

Each piece in this collection has hand-hammered iron frames inset with tempered glass. Perfect for showcasing collectibles or displaying books, they have streamlined shapes that work great in smaller spaces.  Base is crafted of forged wrought iron for improved strength and stability.  Glass shelves are built of tempered glass for safety.

Console Table

Overall Dimensions: 42'' w x 14"" d x 30'' h
	Clearance Above Shelf: 9.5""
	Clearance Below Shelf: 19""
	Maximum Weight Capacity (top): 90 lb
	Maximum Weight Capacity (shelf): 40 lb
Weight: 42 lb
Frame is crafted of forged wrought iron for strength.
Shelf is crafted of tempered glass for safety.

Nesting Tables, Set of Two

   Small Table
		Overall: 13'' sq x 22.5'' h
		Clearance Above Shelf: 11""
Maximum Weight Capacity (top): 20 lb
		Maximum Weight Capacity (shelf): 5
		Weight: 12.5 lb

   Large Table
	Overall: 14'' w x 16"" d x 24'' h
	Maximum Weight Capacity (top): 30 lb
Weight: 14 lb

Cash -- no delivery"
Body,Pottery Barn Tanner Console Table and Side Nesting Tables - $300 (Spring Branch)
