Title,"For Sale: Gas powered Weed Eater, FeatherLite FL20C, 15"" cut 20cc engine. It is a 2 stroke engine and I can include a gas can I used for holding the oil/gas mixture. It has been used 3 times and has been sitting in storge for 2 years. Works great."
Body,Weed Eater 20cc Gas Power Excellent Condition - $50 (Lakewood)
Title,"This weed eater does run but need a little tlc I don't have time to work on it call today to buy it 
 show contact info"
Body,Weed eatter - $40 (aurora)
Title,"4 strains moved to 1548 west alameda ave unit a Denver co 80223 unit c

Colorado amendment  64 compliant. Free weed gift with head shop purchase. Spend $30 on a pipe or anything in the store other than marijuana and get a free 1/8. Be 21 with ID.
Any day that has a 4 in it you get a free joint with the free gift 

Cash only.
Open 7 days a week. 12-8

4strains. 
1548 west alameda ave unit c
Denver co 80223.
Www.4 strains.com"
Body,Weed gift with pipe purchase - $30 (Alameda)
Title,"Multiple Strains / High THC CBD \ Dependable OnTime Delivery

Amendment 64 20 Compliant CareGiver With Extra Top Shelf

Weed Wax Flowers Crumble \ 1/4 1/2 QP hp LB pound 


 show contact info
Talk / Text"
Body,ROCKY MOUNTAIN HIGH ** Weed Wax Crumble Flowers ** Delivered Compliant (Denver. & Suburbs)
Title,"""Weed Wacker on steroids"" great for large areas of thick weeds."
Body,Heavy Duty Weed Wacker - $275
Title,"We carry all types of different weed eaters and weed wackers such as Troybuilt, Toro, Roybi, and also Black & Decker.

Come Visit us and take a look at 

Appliance Nation
4555 East 46th ave 
Denver Co 80216

Hours 
Monday-Friday
9:00am-5:30pm
Saturday
10:00am-3:00pm 
Sundays
Closed


 show contact info"
Body,Gas or electric weed eaters - $105 (Denver)
Title,"Chad Spencer rokovitz he's a cop caller and a thief he robbed me of 900$ and its not the first time he's robbed people Before either if you go to pick up weed he will spray you with bear mace after you give him money and then call the cops and tell them you were the one selling him weed. Hes a mulnipulating lieing piece of shit that lives in the basement on his girlfriends parents. He uses the number 
 show contact info
 I also have a link of when he was in prison in Utah. Don't buy from this guy unless you want to be robbed!!!


http://www.bustedmugshots.com/utah/provo/chad-spencer-rokovitz/29329612"
Body,***beware fake weed****
Title,"Weed cutter in great conditions 

Used rarely 

call/text/email for more information"
Body,Craftsman Wheeled Weed Cutter - $200 (denver area)
Title,"Super lemon haze x romulan diesel male available. 

He's like 3 ft just starting to flower. Coco


Marijuana weed pot

Clones or trade ?

Clones available"
Body,Weed plant for sale - male - $1 (Denver)
Title,"Perfect condition like new, only used about 2-3 times, we are in need of a riding mower and need to sellf this one.
20"" Weedeater lawnmower with a strong Briggs and Straton engine, side discharge 20inch mower.
I'm also interested in trades, let me know what you have.

retails for 144 at walmart, please see the link below
http://www.walmart.com/ip/Weed-Eater-300-Series-20-Side-Discharge-Gas-Lawn-Mower-Not-for-Sale-in-CA/10854262"
Body,"Weed Eater 300 Series 20"" Lawn Mower Briggs and Stratton engine - $120 (coal creek canyon /  arvada / golden)"
Title,"Weed Eater 22''v Excalibur GHT 220  $50


*** Star 4465 Washington St.( I-70 and Washington St.) Denver , Co 80216
 
 show contact info
Mon- Fri( 10. am - 2:00pm) & ( 4 pm -6 pm) Sat (10 am- 6 pm)
 ****************** Parking & Entrance in Rear ********************"
Body,Weed Eater 22''v Excalibur GHT 220 - $50 (denver area)
Title,"Top shelf bud available got great weed good prices. Also have vape pen oil and shatter, ,,out of state welcome.  Free shipping to out of state. Text me 7three1 -----3eight8----zero5seven5              
420, DENVER, DONATION, KUSH, EARWAX, SHATTER, CONCENTRATES, 250MG, 0MG, BUBBLE HASH, BUDDER, BUBBLE, HPS, FLOWERS, BONG, MUNCHIES, AMENDMENT, TRIM, OUNCE, EIGHTH, QUARTER, HALF, Ã‚Â½, Ã‚Â¼, 1/8, STONER, HIGH, DELIVERY, AURORA, TRICHROMES, WEED, HERBAL, BONG, PIPE, MARY JANE, RED CARD, HIPPIE, POT HEAD, HIPPY, POTHEAD, DENSE, NUG, BUDS, MARIJUANA, SATIVA, MMJ, 64, PLANTS, INDICA, SEED, DANK, CLONES, HASH, FIRE, TREE, DELIVERY, OG, WAX, RECREATIONAL, STRAINS, HERB, THC, HAZE, CBD, CANNABIS, CAREGIVER, KUSH, HYBRID, EDIBLES, GANJA, ORGANIC, WEIGHT, NUGS, BUD, HYDRO, INDOOR, MJ, POTENT, VAPORIZER"
Body,420 weed top shelf (denver)
Title,"Good morning I hope you're having an awesome day! I have some great tree for donation. Call or text @ 
 show contact info
 I have Jilly bean (indica) for 40 an eighth 70 a quarter 120 a half 230 oz I also have lamb's breath, durban poison (sativa) and double bubbleberry (indica) for 30 an eighth sixty a quarter one ten a half and 200 OZ. Minimum 35 for mid shelf delivery minimum 45 for delivery of top shelf strains all pics are current no shipping out of state concentrates and edibles available upon request 
 

Weed pickup weed pick up delivery dense green loud gas greenwood village lakewood littleton wheat ridge castle rock dab peace and love happiness dank loud gas weed DIA dia green valley ranch lakewood littleton denver dtc downtown area parker Glendale cherry creek commerce city pot bud bulk qp quap
 Westminster englewood golden Thornton arvada montbello park hill Stapleton lone tree airport"
Body,Daily weed delivery to your front door - $30 (Leetsdale and Quebec)
Title,"Selling Hudson Twin-Pack of Weed & Bug Eliminator Sprayers -- 2-Gallon Capacity each.  New in box- never used

FEATURES + BENEFITS

Twin-pack of light-duty sprayers
Stable tank with 6 feet of hose and funnel top
Polythumb-operated control valve with in-line filter
18in. curved poly spray wand
Nipples adjust from fine mist to coarse spray
High-performance pump
Comfortable glove-sized handle

WHAT'S INCLUDED
(2) Poly tanks
(2) Pump assemblies
(2) Hoses
(2) Control valves
(2) Supply tubes
(2) Nozzle caps
(1) Instructions"
Body,Hudson Twin-Pack of Weed & Bug Eliminator Sprayers -- 2-Gallon Capacity - $20 (Centennial/ South Glen/ Littleton)
